tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,0,10.0,10,4.0,5,bad
com.au,0,16.0,16,6.25,12,bad
cba.pl,0,4.0,4,8.0,8,bad
eu,2,8.0,12,9.0,9,good
de,1,4.5,6,9.0,9,bad
net,0,4.0,4,0.0,0,bad
gov.bd,0,4.0,4,5.0,9,bad
ru,0,10.0,10,5.666666666666667,9,bad
com,1,5.5,6,4.375,9,good
com,0,6.0,6,5.0,7,good
com,0,13.0,13,2.6666666666666665,4,bad
ca,1,13.5,22,5.0,6,bad
be,0,5.0,5,5.0,9,good
com.br,1,4.0,4,1.0,2,bad
ru,0,12.0,12,5.428571428571429,9,bad
pw,0,8.0,8,7.0,11,bad
hu,1,4.0,5,4.333333333333333,8,good
org,1,8.0,10,5.0,5,bad
fi,1,7.5,9,4.5,9,good
gov,1,6.0,9,0.0,0,good
com,0,11.0,11,8.0,8,bad
com,0,14.0,14,6.6,13,bad
ro,0,12.0,12,6.0,6,bad
pw,1,4.666666666666667,7,0.0,0,bad
org,1,6.0,9,5.0,6,good
info,0,16.0,16,2.5,5,bad
org,1,7.5,12,4.0,4,good
com,1,6.666666666666667,9,8.0,8,bad
ca,2,5.0,7,0.5,1,good
com,1,5.5,9,6.0,6,good
net,0,7.0,7,0.0,0,bad
hu,2,3.0,3,0.0,0,good
jp,2,2.3333333333333335,3,5.666666666666667,8,good
com,1,8.5,14,4.0,8,good
uk,1,5.5,9,4.25,9,bad
com,0,11.0,11,5.375,12,bad
uk,3,5.25,9,3.0,8,good
com,0,7.0,7,14.0,14,bad
br,1,4.5,6,8.375,32,bad
info,0,5.0,5,5.5,9,bad
org,1,6.0,9,51.666666666666664,109,good
com,1,10.0,17,13.0,13,good
com,1,7.0,11,4.571428571428571,7,good
com,1,14.5,21,3.0,6,bad
gov.gi,1,8.0,13,6.0,9,good
ru,0,9.0,9,7.0,7,bad
com.tw,0,6.0,6,1.5,3,bad
org,1,5.0,7,9.4,15,good
hr,1,6.0,8,0.0,0,good
org,1,14.0,21,4.0,7,good
com,1,7.5,8,0.0,0,bad
ae,1,5.0,7,10.0,10,bad
com,2,6.0,8,6.0,6,good
org,1,6.0,10,5.0,6,good
ru,1,4.0,5,2.8333333333333335,5,good
com,1,7.0,11,1.5,3,bad
com,1,3.5,4,4.5,7,good
ru,0,7.0,7,6.0,9,bad
top,1,8.5,14,4.0,5,bad
edu,1,5.5,7,3.0,6,good
com,0,12.0,12,7.0,7,bad
dk,0,13.0,13,8.428571428571429,32,bad
net,1,12.5,15,7.2,15,bad
org,1,5.5,9,4.0,4,good
com,0,21.0,21,5.6,10,good
com,1,11.0,18,3.8333333333333335,7,good
com,0,12.0,12,3.857142857142857,7,good
net,0,7.0,7,5.0,5,bad
com,0,16.0,16,5.0,5,bad
top,1,8.5,14,0.0,0,bad
org,1,7.0,8,6.0,6,good
com,1,3.0,3,0.0,0,good
ru,0,5.0,7,8.0,8,bad
net,0,7.0,7,6.333333333333333,8,good
gov.mz,0,13.0,13,5.0,15,bad
com.br,1,14.0,25,6.0,10,bad
com,0,9.0,9,5.0,5,bad
com,1,15.5,16,3.25,5,bad
org,1,6.0,9,4.0,4,good
jp,1,5.0,8,7.0,7,bad
com,0,10.0,10,4.0,5,bad
ie,2,3.6666666666666665,5,5.0,9,good
org,1,3.5,4,0.0,0,good
org,1,3.5,4,7.0,9,good
com,1,7.5,8,5.166666666666667,13,good
jp,2,5.333333333333333,11,4.0,7,good
com,1,4.5,6,4.0,4,good
ru,0,16.0,16,3.3333333333333335,4,bad
com,0,8.0,8,5.5,9,bad
com,0,16.0,16,2.5,5,bad
org,1,6.0,10,42.5,81,good
com,1,3.5,4,17.666666666666668,41,good
com.tw,1,3.5,4,7.0,12,good
us,3,4.75,9,3.0,6,good
org,2,4.0,9,3.0,5,good
pl,0,11.0,11,0.0,0,bad
org,1,5.5,9,4.0,4,good
org,1,5.0,9,5.0,6,good
info,0,12.0,12,0.0,0,bad
com,0,7.0,7,16.0,32,bad
net,0,10.0,10,5.0,5,bad
gov,1,4.0,5,4.625,9,good
gov,2,3.6666666666666665,4,6.0,8,good
org,1,6.5,8,6.4,11,good
org,1,5.0,6,3.0,6,good
uk,1,6.5,10,4.090909090909091,7,good
com,0,15.0,15,4.5,7,bad
com,1,4.0,5,4.333333333333333,8,good
com,0,14.0,14,3.6666666666666665,7,bad
com,1,7.0,7,4.428571428571429,6,bad
com,0,4.0,4,7.5,8,good
com,1,4.0,5,5.05,10,good
ca,3,5.5,7,3.5,6,good
com,0,29.0,29,6.6,13,bad
fr,1,3.0,3,2.0,4,good
support,0,5.0,5,1.0,1,bad
com,1,4.0,5,7.0,10,good
com,0,19.0,19,6.0,6,bad
gov,1,10.5,14,3.6666666666666665,6,good
com,0,15.0,15,4.25,7,bad
com,1,11.5,20,4.0,9,bad
com,0,12.0,12,4.333333333333333,8,bad
com,1,6.0,8,2.25,5,good
cat,0,8.0,8,5.0,13,bad
de,1,8.0,13,6.0,6,bad
com,1,7.5,9,5.0,9,bad
com,0,15.0,15,4.25,7,bad
net,3,6.25,10,8.105263157894736,59,good
org,1,5.5,9,6.0,18,good
org,1,2.5,3,2.4,4,good
com,1,10.0,17,6.0,6,good
com,1,4.5,6,5.0625,10,good
com,0,12.0,12,11.0,32,bad
com,0,10.0,10,9.333333333333334,17,bad
com,0,11.0,11,2.0,4,bad
ru,0,6.0,7,6.0,6,bad
com,1,5.0,6,3.857142857142857,9,bad
com,0,11.0,11,1.0,2,bad
com,0,11.0,11,5.0,5,bad
it,0,7.0,7,5.0,5,bad
com,0,9.0,9,5.0,5,bad
ie,0,16.0,16,6.2,7,bad
com,0,6.0,6,0.0,0,bad
com,1,6.5,7,3.0,6,bad
top,1,10.0,10,4.833333333333333,9,bad
net,0,13.0,13,9.6,32,bad
uk,3,6.0,10,0.5,1,good
net,0,13.0,13,0.0,0,bad
edu.au,1,4.5,7,3.5,6,good
com,0,13.0,13,0.0,0,bad
club,0,6.0,6,2.0,3,bad
org,1,4.0,5,7.0,12,good
net,0,9.0,9,4.5,6,bad
org,1,5.5,9,53.666666666666664,115,good
com.ar,0,11.0,11,5.6,9,bad
com.au,1,8.0,13,5.619047619047619,13,good
net,1,4.0,6,3.0,5,bad
br,1,8.5,14,5.25,7,bad
ca,1,14.0,19,4.0,7,good
ru,1,3.0,5,2.5,5,bad
com,1,5.666666666666667,7,3.5,4,good
com.sg,0,8.0,8,3.6666666666666665,7,bad
com,1,12.0,16,3.6666666666666665,5,bad
org,1,6.0,9,27.333333333333332,54,good
gov,1,4.5,6,3.5,7,good
gov.tr,1,7.5,12,4.0,5,good
com,0,14.0,14,6.5,18,good
com,1,7.5,9,4.25,10,good
com,0,12.0,12,4.333333333333333,7,bad
com,1,12.0,13,6.0,6,good
edu,2,10.333333333333334,16,5.666666666666667,11,good
com,0,9.0,9,4.166666666666667,10,bad
info,0,19.0,19,10.25,19,bad
com,1,10.0,17,0.0,0,good
org,1,5.5,9,3.6666666666666665,5,good
com,1,4.5,6,9.666666666666666,19,good
ca,2,7.0,11,3.875,7,good
uk,2,3.3333333333333335,5,4.5,5,good
ir,1,2.5,3,4.666666666666667,7,good
com,0,13.0,13,4.333333333333333,7,bad
com,1,7.0,11,3.9,7,good
us,3,4.0,8,4.333333333333333,6,good
com,1,4.0,5,8.0,8,good
net,0,10.0,10,8.692307692307692,39,bad
eu,2,5.0,6,5.666666666666667,7,good
info,0,1.5,2,7.0,11,good
org,1,3.0,3,3.125,8,good
com,1,7.5,9,4.0,5,bad
org,1,6.5,10,7.0,7,good
com,1,27.0,47,15.5,31,bad
com,0,13.0,13,3.0,6,good
ch,1,7.0,9,4.25,9,good
com.au,0,7.0,7,7.166666666666667,12,bad
com,0,12.0,12,3.75,5,bad
org,1,6.0,9,4.5,5,good
it,1,8.0,13,5.0,5,bad
gov,2,3.3333333333333335,4,7.0,17,good
com,1,4.0,5,8.0,8,good
com,1,9.5,16,1.0,2,bad
com,0,9.0,9,8.0,8,bad
org,1,8.5,14,6.2,14,good
kr,3,3.75,7,4.666666666666667,8,good
biz,1,6.0,9,10.0,10,bad
org,1,5.5,9,30.5,57,good
edu.ph,1,4.5,6,4.5,9,good
com,1,8.5,14,4.0,8,good
com,0,12.0,12,6.0,6,bad
se,2,4.333333333333333,7,3.3333333333333335,7,good
gov.gr,1,3.5,4,0.0,0,good
cba.pl,0,5.5,8,7.0,7,bad
com,1,9.0,12,5.0,6,bad
si,0,5.0,7,4.666666666666667,8,bad
com,1,3.6666666666666665,7,7.166666666666667,12,bad
mil,2,3.3333333333333335,4,8.0,12,good
com,0,4.0,6,7.5,8,bad
biz,1,7.5,8,8.333333333333334,16,bad
com,3,8.25,16,6.0,12,bad
org,1,6.0,9,5.0,6,good
fr,1,4.666666666666667,7,2.3333333333333335,3,good
com,0,8.0,8,6.428571428571429,11,bad
com,1,6.0,9,8.0,15,good
uk,2,3.0,4,5.0,8,good
com,0,8.0,8,5.0,5,bad
com,1,5.0,8,4.923076923076923,14,good
org,1,5.5,9,5.0,6,good
pl,0,8.0,8,6.0,7,bad
com,0,5.333333333333333,8,6.0,9,bad
xyz,0,7.0,7,7.0,11,bad
info,0,10.0,10,4.0,5,bad
biz,1,6.5,8,6.833333333333333,15,bad
org,1,5.5,6,4.75,9,good
com,0,10.0,10,5.5,6,bad
org,1,10.5,12,0.0,0,good
org,1,3.5,4,5.0,8,good
com,1,7.0,7,4.428571428571429,6,bad
pl,0,15.0,15,4.0,6,bad
com,0,21.0,21,4.4,7,bad
eu,1,7.5,12,0.0,0,good
com.br,0,8.0,8,6.0,6,bad
pl,2,4.0,6,0.0,0,good
com,2,6.333333333333333,13,8.0,8,bad
com,1,12.5,22,4.75,8,good
com,1,4.0,5,6.0,6,good
com,1,11.0,14,6.3,13,good
com,0,7.5,9,1.0,2,bad
pw,1,5.0,7,12.0,24,bad
com,0,7.0,7,3.3333333333333335,6,bad
com,0,13.0,13,6.0,6,bad
com,1,12.5,18,4.8,7,good
net,0,4.0,4,5.5625,10,good
org.my,0,4.0,4,5.0,6,bad
com,0,6.0,6,3.5,8,good
com,0,7.0,7,0.0,0,bad
com,0,5.5,7,3.0,3,bad
com,1,12.5,22,13.0,21,good
