tld,dot_num,avg_host,max_host,avg_path,max_path
com,1,4.0,5,0.0,0
com,1,4.0,5,8.5,13
com,1,4.0,5,9.333333333333334,13
com,1,4.0,5,7.0,13
com,1,4.0,5,7.5,13
com,1,4.0,5,8.75,13
com,1,4.0,5,7.25,13
com,1,4.0,5,7.333333333333333,13
com,1,4.0,5,7.0,9
com,1,4.0,5,7.666666666666667,11
com,1,4.0,5,6.666666666666667,8
com,1,4.0,5,6.666666666666667,8
com,1,4.0,5,7.0,10
com,1,4.0,5,7.333333333333333,13
com,1,4.0,5,7.75,13
com,1,4.0,5,6.333333333333333,10
com,1,4.0,5,6.0,9
com,1,4.0,5,6.666666666666667,11
com,1,4.0,5,5.5,9
com,1,4.0,5,7.0,10
com,1,4.0,5,5.4,10
com,1,4.0,5,6.6,10
com,1,4.0,5,6.2,9
com,1,4.0,5,6.166666666666667,9
com,1,4.0,5,6.5,9
com,1,4.0,5,7.0,10
com,1,4.0,5,6.8,11
com,1,4.0,5,6.0,9
com,1,4.0,5,6.75,10
com,1,6.0,7,1.3333333333333333,2
com,1,6.0,7,3.625,5
com,1,6.0,7,4.571428571428571,8
com,1,6.0,7,3.857142857142857,6
com,1,5.0,5,6.0,8
com,1,6.0,7,4.0,7
com,1,6.0,7,3.75,7
com,1,6.0,7,4.0,7
com,1,6.0,7,3.0,4
com,1,6.0,7,4.142857142857143,7
com,1,6.0,7,4.625,7
com,1,6.0,7,4.6,7
com,1,4.0,5,7.0,10
com,1,4.0,5,8.333333333333334,13
com,1,4.0,5,6.0,8
com,1,4.0,5,7.0,10
com,1,4.0,5,10.0,16
com,1,4.0,5,7.571428571428571,12
com,1,4.0,5,7.0,9
com,1,5.0,5,5.5,7
com,1,5.5,6,7.0,7
com,1,5.0,5,5.5,7
com,1,4.0,5,6.5,9
com,1,5.0,5,0.0,0
com,1,5.0,5,6.0,6
com,1,4.0,5,8.5,13
com,1,4.0,5,7.0,13
com,1,4.0,5,9.333333333333334,13
com,1,4.0,5,8.333333333333334,13
com,1,4.0,5,7.333333333333333,13
com,1,4.0,5,6.333333333333333,10
com,2,6.333333333333333,10,10.0,18
com,1,6.0,7,4.4,7
com,1,6.0,7,4.166666666666667,8
com,1,4.0,5,6.5,9
com,1,4.0,5,3.0,6
com,1,4.0,5,5.5,11
com,1,4.0,5,1.5,3
com,1,4.0,5,4.5,9
com,1,4.0,5,8.5,13
com,1,4.0,5,6.333333333333333,10
com,1,6.0,7,1.3333333333333333,2
com,1,4.0,5,6.5,8
com,1,4.0,5,6.25,8
com,1,4.0,5,6.333333333333333,8
com,1,5.0,5,6.5,13
com,1,5.0,5,6.5,13
com,1,5.5,6,0.0,0
net,0,7.0,7,0.0,0
com,0,3.0,3,0.0,0
com,1,5.0,5,8.0,16
com,1,3.0,3,0.0,0
com,1,5.0,5,6.5,13
io,1,4.0,5,0.0,0
com,1,4.5,5,3.6666666666666665,6
com,1,5.5,8,5.0,5
com,0,7.0,7,5.0,5
com,1,5.5,8,6.0,7
com,1,6.0,9,2.5,5
com,1,5.0,5,5.5,7
com,1,5.0,5,4.5,5
com,1,5.5,6,7.0,7
